Monthyear,incident,Year,Month
199101,302,1991,1
199102,287,1991,2
199103,287,1991,3
199104,309,1991,4
199105,371,1991,5
199106,363,1991,6
199107,461,1991,7
199108,511,1991,8
199109,485,1991,9
199110,510,1991,10
199111,399,1991,11
199112,304,1991,12
199208,559,1992,8
199209,478,1992,9
199212,433,1992,12
199202,514,1992,2
199205,829,1992,5
199206,546,1992,6
199210,569,1992,10
199211,524,1992,11
199207,492,1992,7
199203,615,1992,3
199204,608,1992,4
199201,495,1992,1
199301,634,1993,1
199303,568,1993,3
199305,689,1993,5
199306,651,1993,6
199308,680,1993,8
199302,596,1993,2
199312,479,1993,12
199304,686,1993,4
199307,718,1993,7
199309,623,1993,9
199311,617,1993,11
199310,662,1993,10
199409,552,1994,9
199406,461,1994,6
199407,509,1994,7
199404,541,1994,4
199412,379,1994,12
199403,612,1994,3
199401,406,1994,1
199410,585,1994,10
199411,418,1994,11
199405,502,1994,5
199408,533,1994,8
199402,455,1994,2
199502,573,1995,2
199503,709,1995,3
199506,715,1995,6
199507,719,1995,7
199508,691,1995,8
199509,757,1995,9
199501,584,1995,1
199505,564,1995,5
199511,586,1995,11
199504,671,1995,4
199510,855,1995,10
199512,522,1995,12
199606,790,1996,6
199605,757,1996,5
199609,776,1996,9
199610,761,1996,10
199611,651,1996,11
199604,783,1996,4
199603,756,1996,3
199607,812,1996,7
199612,548,1996,12
199602,679,1996,2
199601,686,1996,1
199608,760,1996,8
199703,740,1997,3
199704,715,1997,4
199706,712,1997,6
199709,695,1997,9
199707,712,1997,7
199711,584,1997,11
199705,788,1997,5
199710,758,1997,10
199712,512,1997,12
199702,598,1997,2
199708,673,1997,8
199701,561,1997,1
199810,763,1998,10
199807,736,1998,7
199801,595,1998,1
199808,655,1998,8
199805,707,1998,5
199806,688,1998,6
199802,597,1998,2
199803,651,1998,3
199804,662,1998,4
199809,663,1998,9
199811,549,1998,11
199812,485,1998,12
199908,711,1999,8
199912,488,1999,12
199904,777,1999,4
199906,638,1999,6
199909,684,1999,9
199911,581,1999,11
199902,642,1999,2
199903,636,1999,3
199907,704,1999,7
199905,738,1999,5
199910,710,1999,10
199901,566,1999,1
200002,629,2000,2
200010,879,2000,10
200008,685,2000,8
200004,743,2000,4
200011,596,2000,11
200001,561,2000,1
200003,751,2000,3
200007,663,2000,7
200012,461,2000,12
200009,740,2000,9
200005,702,2000,5
200006,653,2000,6
200104,809,2001,4
200112,511,2001,12
200103,735,2001,3
200109,1942,2001,9
200108,711,2001,8
200102,552,2001,2
200105,741,2001,5
200110,1043,2001,10
200111,616,2001,11
200106,762,2001,6
200101,624,2001,1
200107,684,2001,7
200208,633,2002,8
200206,666,2002,6
200202,519,2002,2
200211,537,2002,11
200204,708,2002,4
200212,420,2002,12
200201,544,2002,1
200207,651,2002,7
200209,767,2002,9
200210,643,2002,10
200205,673,2002,5
200203,701,2002,3
200310,681,2003,10
200308,678,2003,8
200312,475,2003,12
200303,683,2003,3
200306,649,2003,6
200309,681,2003,9
200304,673,2003,4
200305,697,2003,5
200307,641,2003,7
200311,615,2003,11
200301,528,2003,1
200302,488,2003,2
200408,633,2004,8
200401,523,2004,1
200409,646,2004,9
200403,685,2004,3
200402,630,2004,2
200406,654,2004,6
200410,718,2004,10
200411,585,2004,11
200404,701,2004,4
200405,741,2004,5
200407,670,2004,7
200412,463,2004,12
200502,541,2005,2
200503,622,2005,3
200506,600,2005,6
200510,677,2005,10
200501,542,2005,1
200505,680,2005,5
200512,426,2005,12
200504,678,2005,4
200508,625,2005,8
200509,612,2005,9
200507,612,2005,7
200511,548,2005,11
200609,682,2006,9
200604,735,2006,4
200610,695,2006,10
200601,559,2006,1
200607,742,2006,7
200611,611,2006,11
200603,637,2006,3
200605,700,2006,5
200608,641,2006,8
200602,535,2006,2
200606,690,2006,6
200612,499,2006,12
200710,743,2007,10
200712,475,2007,12
200704,675,2007,4
200706,686,2007,6
200711,574,2007,11
200709,744,2007,9
200703,632,2007,3
200701,553,2007,1
200702,479,2007,2
200705,717,2007,5
200708,658,2007,8
200707,688,2007,7
200804,683,2008,4
200807,684,2008,7
200809,680,2008,9
200812,458,2008,12
200802,591,2008,2
200811,667,2008,11
200810,722,2008,10
200803,674,2008,3
200806,669,2008,6
200808,673,2008,8
200801,561,2008,1
200805,721,2008,5
200903,565,2009,3
200908,639,2009,8
200909,594,2009,9
200905,615,2009,5
200901,478,2009,1
200904,549,2009,4
200902,491,2009,2
200906,591,2009,6
200912,405,2009,12
200907,557,2009,7
200911,500,2009,11
200910,628,2009,10
201004,663,2010,4
201011,473,2010,11
201006,538,2010,6
201012,362,2010,12
201002,437,2010,2
201003,600,2010,3
201008,619,2010,8
201007,558,2010,7
201010,634,2010,10
201005,613,2010,5
201009,657,2010,9
201001,474,2010,1
201112,485,2011,12
201107,548,2011,7
201111,470,2011,11
201105,589,2011,5
201102,387,2011,2
201103,516,2011,3
201106,553,2011,6
201104,539,2011,4
201108,572,2011,8
201101,440,2011,1
201109,552,2011,9
201110,571,2011,10
201202,544,2012,2
201203,589,2012,3
201204,577,2012,4
201208,568,2012,8
201206,571,2012,6
201211,465,2012,11
201209,590,2012,9
201205,629,2012,5
201207,611,2012,7
201212,371,2012,12
201210,518,2012,10
201201,560,2012,1
201304,524,2013,4
201303,476,2013,3
201308,560,2013,8
201310,507,2013,10
201306,561,2013,6
201311,440,2013,11
201312,387,2013,12
201301,395,2013,1
201307,594,2013,7
201309,510,2013,9
201302,394,2013,2
201305,566,2013,5
201404,483,2014,4
201403,434,2014,3
201412,380,2014,12
201409,490,2014,9
201405,512,2014,5
201410,548,2014,10
201401,324,2014,1
